statement,priority
"Challenge to 18th Amendment's Article 175A on judicial appointments, addressing concerns about judicial independence and parliamentary oversight.",High
Civil appeal on Federal Service Tribunal judgment concerning pension clerk's alleged misconduct/embezzlement; Supreme Court found no guilt.,Medium
Supreme Court upholds interpleader suit maintainability regarding disputed sukuk certificates ownership due to fraud among multiple claimants.,High
"Civil Appeal: specific performance of 1973 property sale agreement, involving part payment, possession, and challenge to subsequent sale deed.",Medium
No judgment text provided for analysis. Please provide the document to proceed.,Low
"Sales Tax Act s. 40B interpretation: Inland Revenue officer posting for tax monitoring must be time-bound, not unfettered discretionary power.",Medium
"Supreme Court clarifies Special Court's jurisdiction to name co-accused in Pervez Musharraf's high treason trial, affirming government's prerogative.",High
Supreme Court deems federal medical institutions' and National Museum's devolution to provinces unconstitutional post-18th Amendment.,High
"SCOP declares transfer of major medical institutions to provinces unconstitutional, citing 18th Amendment misinterpretation and federal fundamental rights obligations.",High
"Constitutional dispute on devolution of JPMC, NICH, NICVD to Sindh; federal vs. provincial legislative competence on health.",High
Daughter's heirs challenge 1958 inheritance mutation excluding her from father's estate; limitation period examined.,Low
Public servant's dismissal for willful absence challenged; penalty modified to removal due to unreasoned enhancement.,Medium
"Supreme Court allowed police appeal, setting aside tribunal's order on proforma promotion; emphasized mandatory training over alleged junior's seniority.",Medium
"KPK Government appeals against regularization of contract project employees under NWFP Employees (Regularization of Services) Act, 2009, dismissed.",High
No judgment text provided for analysis; unable to derive case details.,Low
"No judgment text provided, analysis of legal dispute and issues impossible.",Low
"Pre-emption Act 1991 Section 24: Zare Soim deposit period commences from suit filing, non-extendable by court.",Medium
"Challenge to vires of Access Promotion Rules, 2004, Access Promotion Contribution, and USF in telecommunication sector under Pakistan Telecommunication Act, 1996.",High
"Inheritance property dispute over gift and sale mutations; SC partially allows appeal, reversing High Court on limitation for gift, upholding invalidity of sale.",Medium
"No judgment text provided for analysis, unable to derive case essence.",Low
"Election Commission's power to order re-poll for post-consolidation election record tampering under Constitution/Elections Act, 2017, determined.",High
Ownership dispute for income and wealth tax liability on properties held under PM's directive; business income versus house property.,Medium
Taxability of a cement company's surplus investment income during plant construction: business income or other sources?,Medium
Election appeal challenging National Assembly results over unsubstantiated rigging and corrupt practices allegations dismissed by Supreme Court.,High
"Overseas Pakistanis' property dispute over fraudulent sale mutation and illegal dispossession, addressing limitation and evidence.",High
LDA appeal challenging specific performance for plot re-auction after respondent's highest bid and partial payment acceptance.,Medium
Civil appeal on waqf nama cancellation alleging forgery and non-payment of court fees; High Court judgment set aside.,Medium
Dispute over sponsor directors' liability for company debt under 'Sponsors' Undertaking' as indemnity or guarantee after default.,Medium
Zila Council appeal on retrospective goods exit tax levy via Ordinance amendment rejected; fiscal statutes require strict construction.,Medium
"Departmental penalty reduction to lowest time-scale without specified period challenged; SC held time-bound per FR 29, specified three years.",Medium
Civil appeal challenging ECP's annulment of NA-75 Sialkot by-election due to irregularities; determining re-poll standard and ECP jurisdiction.,High
Bank illegally deducted from respondents' account for deceased's unproven loan liability; no banker's lien or Banking Court jurisdiction.,Medium
"Supreme Court dismisses pre-emption suits; rules co-ownership and 'Talabs' unproven, clarifying land revenue record presumption under Punjab law.",Low
Election petition appeal regarding vote recount under Elections Act 2017 S.95(5) and alleged irregularities; interpretation of RO's discretion.,High
"SC: Local Pakistani Mission staff are contract employees, not Civil Servants; Service Tribunal lacked jurisdiction over their termination.",Medium
"Tobacco companies challenge NWFP Finance Act's tobacco development cess levy, asserting unconstitutionality and conflict with federal law.",High
Clarifying `Section 12(2) CPC` application forum and `doctrine of merger` for final judgments in appellate/revisional/constitutional cases.,High
"Civil appeal concerning specific performance of land sale agreement dismissed due to res judicata, limitation, and appellant's prior sale.",Medium
"Supreme Court upholds 1975 land sale mutation, dismissing sister's delayed suit challenging validity; emphasizes evidence and legal principles.",Medium
"Civil appeal on PST recruitment policy, challenging lower court's directive for appointment based on qualification/experience.",Medium
"Pre-emption case: Supreme Court rules talb-e-ishhad notice on printed pro forma invalid under Khyber Pakhtunkhwa Pre-emption Act, 1987.",Medium
"Property dispute appeal: Supreme Court set aside permanent injunction and possession decree, emphasizing title proof required first.",Low
Pre-emption suit dismissed for shortfall in one-third sale price deposit; Supreme Court analyzes High Court's revisional power and Section 24.,Medium
"Election appeal challenging voided NA-66 election for alleged asset concealment; Supreme Court reversed, finding no ownership concealed.",High
,Low
"Is charitable trust's single property sale profit taxable as ""adventure in nature of trade"" under Income Tax Ordinance?",Medium
"Election appeal: Provincial Assembly member disqualified for deliberate non-disclosure of assets in nomination papers, violating Article 62(1)(f).",High
"SCP ruled against M.Phil allowance for LLM/MS degree holders based on HEC equivalence, clarifying notification scope for KP government employees.",Medium
Dispute over government recording unsettled land as its own; individual's superior claim based on possession affirmed.,Medium
"Election appeal challenging tribunal's recount order and candidate declaration amidst ballot tampering allegations, finding post-election manipulation.",High
