statement,category
"Challenge to 18th Amendment's Article 175A on judicial appointments, addressing concerns about judicial independence and parliamentary oversight.",Constitutional
Civil appeal on Federal Service Tribunal judgment concerning pension clerk's alleged misconduct/embezzlement; Supreme Court found no guilt.,Civil
Supreme Court upholds interpleader suit maintainability regarding disputed sukuk certificates ownership due to fraud among multiple claimants.,Civil
"Civil Appeal: specific performance of 1973 property sale agreement, involving part payment, possession, and challenge to subsequent sale deed.",Civil
No judgment text provided for analysis. Please provide the document to proceed.,Civil
"Sales Tax Act s. 40B interpretation: Inland Revenue officer posting for tax monitoring must be time-bound, not unfettered discretionary power.",Civil
"Supreme Court clarifies Special Court's jurisdiction to name co-accused in Pervez Musharraf's high treason trial, affirming government's prerogative.",Criminal
Supreme Court deems federal medical institutions' and National Museum's devolution to provinces unconstitutional post-18th Amendment.,Constitutional
"SCOP declares transfer of major medical institutions to provinces unconstitutional, citing 18th Amendment misinterpretation and federal fundamental rights obligations.",Constitutional
"Constitutional dispute on devolution of JPMC, NICH, NICVD to Sindh; federal vs. provincial legislative competence on health.",Constitutional
Daughter's heirs challenge 1958 inheritance mutation excluding her from father's estate; limitation period examined.,Civil
Public servant's dismissal for willful absence challenged; penalty modified to removal due to unreasoned enhancement.,Civil
"Supreme Court allowed police appeal, setting aside tribunal's order on proforma promotion; emphasized mandatory training over alleged junior's seniority.",Civil
"KPK Government appeals against regularization of contract project employees under NWFP Employees (Regularization of Services) Act, 2009, dismissed.",Civil
No judgment text provided for analysis; unable to derive case details.,Civil
"No judgment text provided, analysis of legal dispute and issues impossible.",Civil
"Pre-emption Act 1991 Section 24: Zare Soim deposit period commences from suit filing, non-extendable by court.",Civil
"Challenge to vires of Access Promotion Rules, 2004, Access Promotion Contribution, and USF in telecommunication sector under Pakistan Telecommunication Act, 1996.",Civil
"Inheritance property dispute over gift and sale mutations; SC partially allows appeal, reversing High Court on limitation for gift, upholding invalidity of sale.",Civil
"No judgment text provided for analysis, unable to derive case essence.",Civil
"Election Commission's power to order re-poll for post-consolidation election record tampering under Constitution/Elections Act, 2017, determined.",Constitutional
Ownership dispute for income and wealth tax liability on properties held under PM's directive; business income versus house property.,Civil
Taxability of a cement company's surplus investment income during plant construction: business income or other sources?,Civil
Election appeal challenging National Assembly results over unsubstantiated rigging and corrupt practices allegations dismissed by Supreme Court.,Civil
"Overseas Pakistanis' property dispute over fraudulent sale mutation and illegal dispossession, addressing limitation and evidence.",Civil
LDA appeal challenging specific performance for plot re-auction after respondent's highest bid and partial payment acceptance.,Civil
Civil appeal on waqf nama cancellation alleging forgery and non-payment of court fees; High Court judgment set aside.,Civil
Dispute over sponsor directors' liability for company debt under 'Sponsors' Undertaking' as indemnity or guarantee after default.,Civil
Zila Council appeal on retrospective goods exit tax levy via Ordinance amendment rejected; fiscal statutes require strict construction.,Civil
"Departmental penalty reduction to lowest time-scale without specified period challenged; SC held time-bound per FR 29, specified three years.",Civil
Civil appeal challenging ECP's annulment of NA-75 Sialkot by-election due to irregularities; determining re-poll standard and ECP jurisdiction.,Constitutional
Bank illegally deducted from respondents' account for deceased's unproven loan liability; no banker's lien or Banking Court jurisdiction.,Civil
"Supreme Court dismisses pre-emption suits; rules co-ownership and 'Talabs' unproven, clarifying land revenue record presumption under Punjab law.",Civil
Election petition appeal regarding vote recount under Elections Act 2017 S.95(5) and alleged irregularities; interpretation of RO's discretion.,Civil
"SC: Local Pakistani Mission staff are contract employees, not Civil Servants; Service Tribunal lacked jurisdiction over their termination.",Civil
"Tobacco companies challenge NWFP Finance Act's tobacco development cess levy, asserting unconstitutionality and conflict with federal law.",Constitutional
Clarifying `Section 12(2) CPC` application forum and `doctrine of merger` for final judgments in appellate/revisional/constitutional cases.,Civil
"Civil appeal concerning specific performance of land sale agreement dismissed due to res judicata, limitation, and appellant's prior sale.",Civil
"Supreme Court upholds 1975 land sale mutation, dismissing sister's delayed suit challenging validity; emphasizes evidence and legal principles.",Civil
"Civil appeal on PST recruitment policy, challenging lower court's directive for appointment based on qualification/experience.",Civil
"Pre-emption case: Supreme Court rules talb-e-ishhad notice on printed pro forma invalid under Khyber Pakhtunkhwa Pre-emption Act, 1987.",Civil
"Property dispute appeal: Supreme Court set aside permanent injunction and possession decree, emphasizing title proof required first.",Civil
Pre-emption suit dismissed for shortfall in one-third sale price deposit; Supreme Court analyzes High Court's revisional power and Section 24.,Civil
"Election appeal challenging voided NA-66 election for alleged asset concealment; Supreme Court reversed, finding no ownership concealed.",Constitutional
,Civil
"Is charitable trust's single property sale profit taxable as ""adventure in nature of trade"" under Income Tax Ordinance?",Civil
"Election appeal: Provincial Assembly member disqualified for deliberate non-disclosure of assets in nomination papers, violating Article 62(1)(f).",Constitutional
"SCP ruled against M.Phil allowance for LLM/MS degree holders based on HEC equivalence, clarifying notification scope for KP government employees.",Civil
Dispute over government recording unsettled land as its own; individual's superior claim based on possession affirmed.,Civil
"Election appeal challenging tribunal's recount order and candidate declaration amidst ballot tampering allegations, finding post-election manipulation.",Constitutional
"Supreme Court allows bank's appeal against encashment of expired guarantees by Customs, clarifying Section 202 Customs Act applicability.",Civil
"SC restores compulsory retirement penalty for public servant's misconduct, finding Service Tribunal's reduction arbitrary without reasoned justification.",Civil
Civil appeal concerning QDA employee's retrospective promotion claim disputed due to post non-existence and order withdrawal.,Civil
Appeals regarding evacuee land allotment in possession of Forest Department challenged due to 1965 ban and unproven documents.,Civil
"Land dispute: Civil appeal regarding suit for declaration, enforcing land transfer based on compromise and registered gift deed.",Civil
"Supreme Court dismisses civil appeal concerning property dispute due to lack of merit, upholding lower court decisions.",Civil
,Civil
"Land sale dispute regarding attorney's unauthorized transfer to sons, power of attorney revoked, manipulated agreement, appeal dismissed.",Civil
Land ownership dispute: unregistered deed with possession prevails over subsequent registered deed under Transfer of Property Act.,Civil
"Dispute over penal rent for unauthorized government accommodation retention by retired civil servant, interpreting Service Rules and Article 212(3) jurisdiction.",Civil
No judgment text provided for analysis.,Civil
